alpha,metric,group,data,opt
0,ndcg,Overall,0.0831532848479745,SEP_LIR_opt
0,ndcg,Male,0.08514941930391404,SEP_LIR_opt
0,ndcg,Female,0.07809165819184213,SEP_LIR_opt
0,ndcg,Under 18,0.07321543737507842,SEP_LIR_opt
0,ndcg,18-24,0.08979139858916466,SEP_LIR_opt
0,ndcg,25-34,0.0905199596945153,SEP_LIR_opt
0,ndcg,35-44,0.09299125290131426,SEP_LIR_opt
0,ndcg,45-49,0.060657766171156424,SEP_LIR_opt
0,ndcg,50-55,0.06957946759714854,SEP_LIR_opt
0,ndcg,56+,0.04842256668390369,SEP_LIR_opt
0,ndcg,other,0.09772704005445787,SEP_LIR_opt
0,ndcg,academic/educator,0.09569768530523738,SEP_LIR_opt
0,ndcg,artist,0.08402715887991785,SEP_LIR_opt
0,ndcg,clerical/admin,0.11766255338153575,SEP_LIR_opt
0,ndcg,college/grad student,0.08660565928920703,SEP_LIR_opt
0,ndcg,customer service,0.07020326953036327,SEP_LIR_opt
0,ndcg,doctor/health care,0.06984774766158376,SEP_LIR_opt
0,ndcg,executive/managerial,0.07481297163604216,SEP_LIR_opt
0,ndcg,farmer,0.046287279128318544,SEP_LIR_opt
0,ndcg,homemaker,0.07484765115838309,SEP_LIR_opt
0,ndcg,K-12 student,0.07111581534151036,SEP_LIR_opt
0,ndcg,lawyer,0.05700949327478709,SEP_LIR_opt
0,ndcg,programmer,0.06601955437061686,SEP_LIR_opt
0,ndcg,retired,0.05215962836017803,SEP_LIR_opt
0,ndcg,sales/marketing,0.07381684276783623,SEP_LIR_opt
0,ndcg,scientist,0.05142509909125414,SEP_LIR_opt
0,ndcg,self-employed,0.10400681378207093,SEP_LIR_opt
0,ndcg,technician/engineer,0.07679673957816396,SEP_LIR_opt
0,ndcg,tradesman/craftsman,0.10764578858234199,SEP_LIR_opt
0,ndcg,unemployed,0.13681024381477208,SEP_LIR_opt
0,ndcg,writer,0.09229220366763093,SEP_LIR_opt
0,hr,Overall,0.15880112601424076,SEP_LIR_opt
0,hr,Male,0.16370353267143847,SEP_LIR_opt
0,hr,Female,0.14637002341920374,SEP_LIR_opt
0,hr,Under 18,0.13122171945701358,SEP_LIR_opt
0,hr,18-24,0.17225747960108795,SEP_LIR_opt
0,hr,25-34,0.17557251908396945,SEP_LIR_opt
0,hr,35-44,0.17015926236378875,SEP_LIR_opt
0,hr,45-49,0.11636363636363636,SEP_LIR_opt
0,hr,50-55,0.14112903225806453,SEP_LIR_opt
0,hr,56+,0.09210526315789473,SEP_LIR_opt
0,hr,other,0.18424753867791843,SEP_LIR_opt
0,hr,academic/educator,0.16856060606060605,SEP_LIR_opt
0,hr,artist,0.1797752808988764,SEP_LIR_opt
0,hr,clerical/admin,0.21965317919075145,SEP_LIR_opt
0,hr,college/grad student,0.1712779973649539,SEP_LIR_opt
0,hr,customer service,0.13392857142857142,SEP_LIR_opt
0,hr,doctor/health care,0.11864406779661017,SEP_LIR_opt
0,hr,executive/managerial,0.14727540500736377,SEP_LIR_opt
0,hr,farmer,0.11764705882352941,SEP_LIR_opt
0,hr,homemaker,0.13043478260869565,SEP_LIR_opt
0,hr,K-12 student,0.12886597938144329,SEP_LIR_opt
0,hr,lawyer,0.11627906976744186,SEP_LIR_opt
0,hr,programmer,0.13144329896907217,SEP_LIR_opt
0,hr,retired,0.08450704225352113,SEP_LIR_opt
0,hr,sales/marketing,0.1423841059602649,SEP_LIR_opt
0,hr,scientist,0.1111111111111111,SEP_LIR_opt
0,hr,self-employed,0.1908713692946058,SEP_LIR_opt
0,hr,technician/engineer,0.14342629482071714,SEP_LIR_opt
0,hr,tradesman/craftsman,0.2,SEP_LIR_opt
0,hr,unemployed,0.2638888888888889,SEP_LIR_opt
0,hr,writer,0.18861209964412812,SEP_LIR_opt
0,recall,Overall,0.006299556784027932,SEP_LIR_opt
0,recall,Male,0.006224001198610398,SEP_LIR_opt
0,recall,Female,0.006491144161336679,SEP_LIR_opt
0,recall,Under 18,0.007723310874120422,SEP_LIR_opt
0,recall,18-24,0.006423450269833227,SEP_LIR_opt
0,recall,25-34,0.006438311274816236,SEP_LIR_opt
0,recall,35-44,0.006976048807837279,SEP_LIR_opt
0,recall,45-49,0.004896248681590887,SEP_LIR_opt
0,recall,50-55,0.00614726691098074,SEP_LIR_opt
0,recall,56+,0.004452626961715482,SEP_LIR_opt
0,recall,other,0.0065022092628119295,SEP_LIR_opt
0,recall,academic/educator,0.007227038919909015,SEP_LIR_opt
0,recall,artist,0.006994431991262722,SEP_LIR_opt
0,recall,clerical/admin,0.00736433167951026,SEP_LIR_opt
0,recall,college/grad student,0.005232787288567062,SEP_LIR_opt
0,recall,customer service,0.0039861928150031365,SEP_LIR_opt
0,recall,doctor/health care,0.006285837951373487,SEP_LIR_opt
0,recall,executive/managerial,0.00651384067878972,SEP_LIR_opt
0,recall,farmer,0.0019496434937611407,SEP_LIR_opt
0,recall,homemaker,0.009510397136939271,SEP_LIR_opt
0,recall,K-12 student,0.007285144019926809,SEP_LIR_opt
0,recall,lawyer,0.00459057802318227,SEP_LIR_opt
0,recall,programmer,0.005771345093011624,SEP_LIR_opt
0,recall,retired,0.004894852897891852,SEP_LIR_opt
0,recall,sales/marketing,0.005331848167260044,SEP_LIR_opt
0,recall,scientist,0.003929937526642992,SEP_LIR_opt
0,recall,self-employed,0.006640512254562709,SEP_LIR_opt
0,recall,technician/engineer,0.0070197899954623786,SEP_LIR_opt
0,recall,tradesman/craftsman,0.009518650710256399,SEP_LIR_opt
0,recall,unemployed,0.008979073377714577,SEP_LIR_opt
0,recall,writer,0.00596746844645493,SEP_LIR_opt
0,precision,Overall,0.01859579400563007,SEP_LIR_opt
0,precision,Male,0.019071807896559687,SEP_LIR_opt
0,precision,Female,0.01738875878220141,SEP_LIR_opt
0,precision,Under 18,0.01583710407239819,SEP_LIR_opt
0,precision,18-24,0.019038984587488667,SEP_LIR_opt
0,precision,25-34,0.020658396946564888,SEP_LIR_opt
0,precision,35-44,0.020871751886001676,SEP_LIR_opt
0,precision,45-49,0.014,SEP_LIR_opt
0,precision,50-55,0.016129032258064516,SEP_LIR_opt
0,precision,56+,0.010263157894736844,SEP_LIR_opt
0,precision,other,0.02081575246132208,SEP_LIR_opt
0,precision,academic/educator,0.02064393939393939,SEP_LIR_opt
0,precision,artist,0.020973782771535582,SEP_LIR_opt
0,precision,clerical/admin,0.02601156069364162,SEP_LIR_opt
0,precision,college/grad student,0.019499341238471673,SEP_LIR_opt
0,precision,customer service,0.016964285714285716,SEP_LIR_opt
0,precision,doctor/health care,0.015677966101694914,SEP_LIR_opt
0,precision,executive/managerial,0.01855670103092784,SEP_LIR_opt
0,precision,farmer,0.011764705882352941,SEP_LIR_opt
0,precision,homemaker,0.016304347826086956,SEP_LIR_opt
0,precision,K-12 student,0.015463917525773196,SEP_LIR_opt
0,precision,lawyer,0.015503875968992251,SEP_LIR_opt
0,precision,programmer,0.015721649484536082,SEP_LIR_opt
0,precision,retired,0.009154929577464789,SEP_LIR_opt
0,precision,sales/marketing,0.015231788079470197,SEP_LIR_opt
0,precision,scientist,0.011805555555555557,SEP_LIR_opt
0,precision,self-employed,0.021161825726141077,SEP_LIR_opt
0,precision,technician/engineer,0.015737051792828687,SEP_LIR_opt
0,precision,tradesman/craftsman,0.02714285714285715,SEP_LIR_opt
0,precision,unemployed,0.027777777777777776,SEP_LIR_opt
0,precision,writer,0.02206405693950178,SEP_LIR_opt
0,LIR,Overall,0.16889713234546358,SEP_LIR_opt
0,LIR,Male,0.1725426239518642,SEP_LIR_opt
0,LIR,Female,0.159658616167979,SEP_LIR_opt
0,LIR,Under 18,0.13052837669862383,SEP_LIR_opt
0,LIR,18-24,0.1651383367037683,SEP_LIR_opt
0,LIR,25-34,0.18490005028837236,SEP_LIR_opt
0,LIR,35-44,0.17764341481148888,SEP_LIR_opt
0,LIR,45-49,0.1654718887156621,SEP_LIR_opt
0,LIR,50-55,0.165080552737505,SEP_LIR_opt
0,LIR,56+,0.09643474244552074,SEP_LIR_opt
0,LIR,other,0.17596361620071146,SEP_LIR_opt
0,LIR,academic/educator,0.1708730395939204,SEP_LIR_opt
0,LIR,artist,0.19546571352611455,SEP_LIR_opt
0,LIR,clerical/admin,0.1773981311555134,SEP_LIR_opt
0,LIR,college/grad student,0.179652048010096,SEP_LIR_opt
0,LIR,customer service,0.1946725340668289,SEP_LIR_opt
0,LIR,doctor/health care,0.15493438032741763,SEP_LIR_opt
0,LIR,executive/managerial,0.1640272253015748,SEP_LIR_opt
0,LIR,farmer,0.14104245491863704,SEP_LIR_opt
0,LIR,homemaker,0.136652436273697,SEP_LIR_opt
0,LIR,K-12 student,0.13510614718740693,SEP_LIR_opt
0,LIR,lawyer,0.18199603894548141,SEP_LIR_opt
0,LIR,programmer,0.16714612251845976,SEP_LIR_opt
0,LIR,retired,0.08217181562724181,SEP_LIR_opt
0,LIR,sales/marketing,0.15921739570534124,SEP_LIR_opt
0,LIR,scientist,0.1708797874728993,SEP_LIR_opt
0,LIR,self-employed,0.17681680900475144,SEP_LIR_opt
0,LIR,technician/engineer,0.16283500281368762,SEP_LIR_opt
0,LIR,tradesman/craftsman,0.16895976948447994,SEP_LIR_opt
0,LIR,unemployed,0.16781706392112414,SEP_LIR_opt
0,LIR,writer,0.19060401583003486,SEP_LIR_opt
0,SEP,Overall,0.4779988031108327,SEP_LIR_opt
0,SEP,Male,0.477981657244842,SEP_LIR_opt
0,SEP,Female,0.4780422801281663,SEP_LIR_opt
0,SEP,Under 18,0.48240643692777235,SEP_LIR_opt
0,SEP,18-24,0.4828203487882957,SEP_LIR_opt
0,SEP,25-34,0.4759282378269518,SEP_LIR_opt
0,SEP,35-44,0.47428677154017396,SEP_LIR_opt
0,SEP,45-49,0.47503639271368087,SEP_LIR_opt
0,SEP,50-55,0.4870821216369963,SEP_LIR_opt
0,SEP,56+,0.4769464511963107,SEP_LIR_opt
0,SEP,other,0.4662614528192348,SEP_LIR_opt
0,SEP,academic/educator,0.47842121476322946,SEP_LIR_opt
0,SEP,artist,0.48617220225398683,SEP_LIR_opt
0,SEP,clerical/admin,0.4820712408616609,SEP_LIR_opt
0,SEP,college/grad student,0.4739594792737317,SEP_LIR_opt
0,SEP,customer service,0.47110123490423944,SEP_LIR_opt
0,SEP,doctor/health care,0.4824914020492919,SEP_LIR_opt
0,SEP,executive/managerial,0.4840407657178211,SEP_LIR_opt
0,SEP,farmer,0.45458354209282653,SEP_LIR_opt
0,SEP,homemaker,0.48246172086592803,SEP_LIR_opt
0,SEP,K-12 student,0.48217279396243184,SEP_LIR_opt
0,SEP,lawyer,0.47759405589084813,SEP_LIR_opt
0,SEP,programmer,0.4789787217036719,SEP_LIR_opt
0,SEP,retired,0.47840755974809124,SEP_LIR_opt
0,SEP,sales/marketing,0.48325082450064794,SEP_LIR_opt
0,SEP,scientist,0.4971321671057404,SEP_LIR_opt
0,SEP,self-employed,0.4754843877856607,SEP_LIR_opt
0,SEP,technician/engineer,0.4808296816171522,SEP_LIR_opt
0,SEP,tradesman/craftsman,0.49789069411047954,SEP_LIR_opt
0,SEP,unemployed,0.47151271700535485,SEP_LIR_opt
0,SEP,writer,0.46597326298961206,SEP_LIR_opt
