alpha,metric,group,data,opt
0,ndcg,Overall,0.08374416826737968,ETDopt
0,ndcg,Male,0.08517291185618155,ETDopt
0,ndcg,Female,0.08012128273863207,ETDopt
0,ndcg,Under 18,0.07003804401774598,ETDopt
0,ndcg,18-24,0.0838563456820673,ETDopt
0,ndcg,25-34,0.09333754652766628,ETDopt
0,ndcg,35-44,0.09477845105934972,ETDopt
0,ndcg,45-49,0.06773077084561144,ETDopt
0,ndcg,50-55,0.0678022465893389,ETDopt
0,ndcg,56+,0.04781854537440154,ETDopt
0,ndcg,other,0.09546503302836906,ETDopt
0,ndcg,academic/educator,0.09485572730892354,ETDopt
0,ndcg,artist,0.08169119487143556,ETDopt
0,ndcg,clerical/admin,0.11909496758568303,ETDopt
0,ndcg,college/grad student,0.08404386173218098,ETDopt
0,ndcg,customer service,0.06932005988178015,ETDopt
0,ndcg,doctor/health care,0.06336340353434441,ETDopt
0,ndcg,executive/managerial,0.07887011110820637,ETDopt
0,ndcg,farmer,0.06399492593208214,ETDopt
0,ndcg,homemaker,0.06923563921210903,ETDopt
0,ndcg,K-12 student,0.06510079129081446,ETDopt
0,ndcg,lawyer,0.057195135532915505,ETDopt
0,ndcg,programmer,0.08105973111953732,ETDopt
0,ndcg,retired,0.049599190590003374,ETDopt
0,ndcg,sales/marketing,0.07582975615520908,ETDopt
0,ndcg,scientist,0.06860593039229178,ETDopt
0,ndcg,self-employed,0.10673277156078398,ETDopt
0,ndcg,technician/engineer,0.08064478599296131,ETDopt
0,ndcg,tradesman/craftsman,0.10448500371015808,ETDopt
0,ndcg,unemployed,0.1318106164387109,ETDopt
0,ndcg,writer,0.08379669049609875,ETDopt
0,hr,Overall,0.16294088425235967,ETDopt
0,hr,Male,0.16670514892634494,ETDopt
0,hr,Female,0.15339578454332553,ETDopt
0,hr,Under 18,0.12669683257918551,ETDopt
0,hr,18-24,0.16500453309156846,ETDopt
0,hr,25-34,0.18702290076335878,ETDopt
0,hr,35-44,0.16848281642917015,ETDopt
0,hr,45-49,0.13636363636363635,ETDopt
0,hr,50-55,0.13911290322580644,ETDopt
0,hr,56+,0.09736842105263158,ETDopt
0,hr,other,0.1828410689170183,ETDopt
0,hr,academic/educator,0.17045454545454544,ETDopt
0,hr,artist,0.16104868913857678,ETDopt
0,hr,clerical/admin,0.21965317919075145,ETDopt
0,hr,college/grad student,0.17786561264822134,ETDopt
0,hr,customer service,0.13392857142857142,ETDopt
0,hr,doctor/health care,0.1059322033898305,ETDopt
0,hr,executive/managerial,0.15463917525773196,ETDopt
0,hr,farmer,0.17647058823529413,ETDopt
0,hr,homemaker,0.11956521739130435,ETDopt
0,hr,K-12 student,0.11855670103092783,ETDopt
0,hr,lawyer,0.10852713178294573,ETDopt
0,hr,programmer,0.17525773195876287,ETDopt
0,hr,retired,0.09154929577464789,ETDopt
0,hr,sales/marketing,0.15894039735099338,ETDopt
0,hr,scientist,0.16666666666666666,ETDopt
0,hr,self-employed,0.1825726141078838,ETDopt
0,hr,technician/engineer,0.1553784860557769,ETDopt
0,hr,tradesman/craftsman,0.18571428571428572,ETDopt
0,hr,unemployed,0.25,ETDopt
0,hr,writer,0.16370106761565836,ETDopt
0,recall,Overall,0.006916351148528497,ETDopt
0,recall,Male,0.006881885084652672,ETDopt
0,recall,Female,0.007003747239070766,ETDopt
0,recall,Under 18,0.006952093214542019,ETDopt
0,recall,18-24,0.006661540151228501,ETDopt
0,recall,25-34,0.007588276229525135,ETDopt
0,recall,35-44,0.007087132557474095,ETDopt
0,recall,45-49,0.00706103238310227,ETDopt
0,recall,50-55,0.005746966684057514,ETDopt
0,recall,56+,0.004709773143670304,ETDopt
0,recall,other,0.006528965903315432,ETDopt
0,recall,academic/educator,0.006953486469435464,ETDopt
0,recall,artist,0.007112856127827281,ETDopt
0,recall,clerical/admin,0.00818104936447811,ETDopt
0,recall,college/grad student,0.007235033432785513,ETDopt
0,recall,customer service,0.002514610606662022,ETDopt
0,recall,doctor/health care,0.006393467750068002,ETDopt
0,recall,executive/managerial,0.0074035522616987225,ETDopt
0,recall,farmer,0.0022746353689642607,ETDopt
0,recall,homemaker,0.00990739421212293,ETDopt
0,recall,K-12 student,0.006234333847246239,ETDopt
0,recall,lawyer,0.0052059176942072126,ETDopt
0,recall,programmer,0.008378684360796524,ETDopt
0,recall,retired,0.005286685559147503,ETDopt
0,recall,sales/marketing,0.006002173265609164,ETDopt
0,recall,scientist,0.005907705512126644,ETDopt
0,recall,self-employed,0.007064579322777091,ETDopt
0,recall,technician/engineer,0.007357546726423224,ETDopt
0,recall,tradesman/craftsman,0.010900586442829721,ETDopt
0,recall,unemployed,0.009769323267906986,ETDopt
0,recall,writer,0.0052394850168129455,ETDopt
0,precision,Overall,0.019241596290776618,ETDopt
0,precision,Male,0.01971830985915493,ETDopt
0,precision,Female,0.018032786885245903,ETDopt
0,precision,Under 18,0.01493212669683258,ETDopt
0,precision,18-24,0.01931097008159565,ETDopt
0,precision,25-34,0.022280534351145038,ETDopt
0,precision,35-44,0.020620284995808886,ETDopt
0,precision,45-49,0.015454545454545455,ETDopt
0,precision,50-55,0.015322580645161291,ETDopt
0,precision,56+,0.011052631578947371,ETDopt
0,precision,other,0.022222222222222223,ETDopt
0,precision,academic/educator,0.020833333333333332,ETDopt
0,precision,artist,0.018352059925093634,ETDopt
0,precision,clerical/admin,0.02543352601156069,ETDopt
0,precision,college/grad student,0.020553359683794462,ETDopt
0,precision,customer service,0.014285714285714287,ETDopt
0,precision,doctor/health care,0.013983050847457627,ETDopt
0,precision,executive/managerial,0.018998527245949928,ETDopt
0,precision,farmer,0.017647058823529415,ETDopt
0,precision,homemaker,0.015217391304347825,ETDopt
0,precision,K-12 student,0.013917525773195877,ETDopt
0,precision,lawyer,0.013178294573643412,ETDopt
