alpha,metric,group,data,opt
0,ndcg,Overall,0.08337988676487079,ETD_SEP_LIR_opt
0,ndcg,Male,0.08511110998501178,ETD_SEP_LIR_opt
0,ndcg,Female,0.07898999931379898,ETD_SEP_LIR_opt
0,ndcg,Under 18,0.06470057832203399,ETD_SEP_LIR_opt
0,ndcg,18-24,0.08752594023455908,ETD_SEP_LIR_opt
0,ndcg,25-34,0.09203936289433921,ETD_SEP_LIR_opt
0,ndcg,35-44,0.09580971012335877,ETD_SEP_LIR_opt
0,ndcg,45-49,0.06463565682344882,ETD_SEP_LIR_opt
0,ndcg,50-55,0.06761611074147475,ETD_SEP_LIR_opt
0,ndcg,56+,0.04312764552841106,ETD_SEP_LIR_opt
0,ndcg,other,0.09557867849815431,ETD_SEP_LIR_opt
0,ndcg,academic/educator,0.09119933331829656,ETD_SEP_LIR_opt
0,ndcg,artist,0.08141416186294391,ETD_SEP_LIR_opt
0,ndcg,clerical/admin,0.10092600693083763,ETD_SEP_LIR_opt
0,ndcg,college/grad student,0.08294709088420893,ETD_SEP_LIR_opt
0,ndcg,customer service,0.07342614870417315,ETD_SEP_LIR_opt
0,ndcg,doctor/health care,0.06623020039124715,ETD_SEP_LIR_opt
0,ndcg,executive/managerial,0.0727250098617138,ETD_SEP_LIR_opt
0,ndcg,farmer,0.0177076468037636,ETD_SEP_LIR_opt
0,ndcg,homemaker,0.06821531645139264,ETD_SEP_LIR_opt
0,ndcg,K-12 student,0.06234978007130141,ETD_SEP_LIR_opt
0,ndcg,lawyer,0.06405099814429627,ETD_SEP_LIR_opt
0,ndcg,programmer,0.07480242463520635,ETD_SEP_LIR_opt
0,ndcg,retired,0.05730142224705231,ETD_SEP_LIR_opt
0,ndcg,sales/marketing,0.07533907666841469,ETD_SEP_LIR_opt
0,ndcg,scientist,0.06350691191399492,ETD_SEP_LIR_opt
0,ndcg,self-employed,0.1108428627230954,ETD_SEP_LIR_opt
0,ndcg,technician/engineer,0.08625200368460416,ETD_SEP_LIR_opt
0,ndcg,tradesman/craftsman,0.10529258440318558,ETD_SEP_LIR_opt
0,ndcg,unemployed,0.1425163020672176,ETD_SEP_LIR_opt
0,ndcg,writer,0.10105474346721974,ETD_SEP_LIR_opt
0,hr,Overall,0.1627752939228349,ETD_SEP_LIR_opt
0,hr,Male,0.16670514892634494,ETD_SEP_LIR_opt
0,hr,Female,0.15281030444964872,ETD_SEP_LIR_opt
0,hr,Under 18,0.11312217194570136,ETD_SEP_LIR_opt
0,hr,18-24,0.16772438803263826,ETD_SEP_LIR_opt
0,hr,25-34,0.18416030534351144,ETD_SEP_LIR_opt
0,hr,35-44,0.17937971500419111,ETD_SEP_LIR_opt
0,hr,45-49,0.13090909090909092,ETD_SEP_LIR_opt
0,hr,50-55,0.1350806451612903,ETD_SEP_LIR_opt
0,hr,56+,0.08947368421052632,ETD_SEP_LIR_opt
0,hr,other,0.18565400843881857,ETD_SEP_LIR_opt
0,hr,academic/educator,0.16666666666666666,ETD_SEP_LIR_opt
0,hr,artist,0.16853932584269662,ETD_SEP_LIR_opt
0,hr,clerical/admin,0.1907514450867052,ETD_SEP_LIR_opt
0,hr,college/grad student,0.16996047430830039,ETD_SEP_LIR_opt
0,hr,customer service,0.13392857142857142,ETD_SEP_LIR_opt
0,hr,doctor/health care,0.13135593220338984,ETD_SEP_LIR_opt
0,hr,executive/managerial,0.14432989690721648,ETD_SEP_LIR_opt
0,hr,farmer,0.058823529411764705,ETD_SEP_LIR_opt
0,hr,homemaker,0.11956521739130435,ETD_SEP_LIR_opt
0,hr,K-12 student,0.1134020618556701,ETD_SEP_LIR_opt
0,hr,lawyer,0.11627906976744186,ETD_SEP_LIR_opt
0,hr,programmer,0.16494845360824742,ETD_SEP_LIR_opt
0,hr,retired,0.09154929577464789,ETD_SEP_LIR_opt
0,hr,sales/marketing,0.16225165562913907,ETD_SEP_LIR_opt
0,hr,scientist,0.1527777777777778,ETD_SEP_LIR_opt
0,hr,self-employed,0.1950207468879668,ETD_SEP_LIR_opt
0,hr,technician/engineer,0.16733067729083664,ETD_SEP_LIR_opt
0,hr,tradesman/craftsman,0.2,ETD_SEP_LIR_opt
0,hr,unemployed,0.25,ETD_SEP_LIR_opt
0,hr,writer,0.18505338078291814,ETD_SEP_LIR_opt
0,recall,Overall,0.006766682981996418,ETD_SEP_LIR_opt
0,recall,Male,0.0067190575337159695,ETD_SEP_LIR_opt
0,recall,Female,0.006887447511564701,ETD_SEP_LIR_opt
0,recall,Under 18,0.006006540168148637,ETD_SEP_LIR_opt
0,recall,18-24,0.0063272485306501945,ETD_SEP_LIR_opt
0,recall,25-34,0.007325884978390857,ETD_SEP_LIR_opt
0,recall,35-44,0.007660729320038219,ETD_SEP_LIR_opt
0,recall,45-49,0.006149626060973311,ETD_SEP_LIR_opt
0,recall,50-55,0.005640773132083213,ETD_SEP_LIR_opt
0,recall,56+,0.004955724266439293,ETD_SEP_LIR_opt
0,recall,other,0.006335402642956851,ETD_SEP_LIR_opt
0,recall,academic/educator,0.0068286695584980975,ETD_SEP_LIR_opt
0,recall,artist,0.0064644042778144095,ETD_SEP_LIR_opt
0,recall,clerical/admin,0.006382021278729202,ETD_SEP_LIR_opt
0,recall,college/grad student,0.006610374431700387,ETD_SEP_LIR_opt
0,recall,customer service,0.0033981714673598945,ETD_SEP_LIR_opt
0,recall,doctor/health care,0.006394942635990778,ETD_SEP_LIR_opt
0,recall,executive/managerial,0.007126377666538038,ETD_SEP_LIR_opt
0,recall,farmer,0.0013368983957219253,ETD_SEP_LIR_opt
0,recall,homemaker,0.009836812619802208,ETD_SEP_LIR_opt
0,recall,K-12 student,0.005591258089838259,ETD_SEP_LIR_opt
0,recall,lawyer,0.005179280671154533,ETD_SEP_LIR_opt
0,recall,programmer,0.007762695858519588,ETD_SEP_LIR_opt
0,recall,retired,0.005647604180340448,ETD_SEP_LIR_opt
0,recall,sales/marketing,0.006418792383276597,ETD_SEP_LIR_opt
0,recall,scientist,0.005194757916967581,ETD_SEP_LIR_opt
0,recall,self-employed,0.007404146313834884,ETD_SEP_LIR_opt
0,recall,technician/engineer,0.008280521512312972,ETD_SEP_LIR_opt
0,recall,tradesman/craftsman,0.010378343335060297,ETD_SEP_LIR_opt
0,recall,unemployed,0.009429251316172248,ETD_SEP_LIR_opt
0,recall,writer,0.00587350561521359,ETD_SEP_LIR_opt
0,precision,Overall,0.01935750952144395,ETD_SEP_LIR_opt
0,precision,Male,0.01997229277303163,ETD_SEP_LIR_opt
0,precision,Female,0.017798594847775177,ETD_SEP_LIR_opt
0,precision,Under 18,0.013574660633484163,ETD_SEP_LIR_opt
0,precision,18-24,0.020036264732547597,ETD_SEP_LIR_opt
0,precision,25-34,0.02194656488549618,ETD_SEP_LIR_opt
0,precision,35-44,0.022045264040234703,ETD_SEP_LIR_opt
0,precision,45-49,0.014909090909090912,ETD_SEP_LIR_opt
0,precision,50-55,0.014919354838709677,ETD_SEP_LIR_opt
0,precision,56+,0.010263157894736844,ETD_SEP_LIR_opt
0,precision,other,0.02180028129395218,ETD_SEP_LIR_opt
0,precision,academic/educator,0.020833333333333332,ETD_SEP_LIR_opt
0,precision,artist,0.018726591760299626,ETD_SEP_LIR_opt
0,precision,clerical/admin,0.02254335260115607,ETD_SEP_LIR_opt
0,precision,college/grad student,0.02015810276679842,ETD_SEP_LIR_opt
0,precision,customer service,0.016964285714285716,ETD_SEP_LIR_opt
0,precision,doctor/health care,0.016525423728813562,ETD_SEP_LIR_opt
0,precision,executive/managerial,0.018114874815905745,ETD_SEP_LIR_opt
0,precision,farmer,0.0058823529411764705,ETD_SEP_LIR_opt
0,precision,homemaker,0.014130434782608694,ETD_SEP_LIR_opt
0,precision,K-12 student,0.013402061855670104,ETD_SEP_LIR_opt
0,precision,lawyer,0.013178294573643412,ETD_SEP_LIR_opt
0,precision,programmer,0.020360824742268045,ETD_SEP_LIR_opt
0,precision,retired,0.009859154929577464,ETD_SEP_LIR_opt
0,precision,sales/marketing,0.018211920529801324,ETD_SEP_LIR_opt
0,precision,scientist,0.018055555555555557,ETD_SEP_LIR_opt
0,precision,self-employed,0.022406639004149378,ETD_SEP_LIR_opt
0,precision,technician/engineer,0.01852589641434263,ETD_SEP_LIR_opt
0,precision,tradesman/craftsman,0.022857142857142857,ETD_SEP_LIR_opt
0,precision,unemployed,0.029166666666666667,ETD_SEP_LIR_opt
0,precision,writer,0.023487544483985764,ETD_SEP_LIR_opt
0,LIR,Overall,0.1679079216098377,ETD_SEP_LIR_opt
0,LIR,Male,0.17524896551794847,ETD_SEP_LIR_opt
0,LIR,Female,0.14930402391175246,ETD_SEP_LIR_opt
0,LIR,Under 18,0.13247593516534742,ETD_SEP_LIR_opt
0,LIR,18-24,0.18362437445854551,ETD_SEP_LIR_opt
0,LIR,25-34,0.1773190551654216,ETD_SEP_LIR_opt
0,LIR,35-44,0.17003135125678243,ETD_SEP_LIR_opt
0,LIR,45-49,0.16342403722968996,ETD_SEP_LIR_opt
0,LIR,50-55,0.16164285147458676,ETD_SEP_LIR_opt
0,LIR,56+,0.09907970369775607,ETD_SEP_LIR_opt
0,LIR,other,0.1562588612207289,ETD_SEP_LIR_opt
0,LIR,academic/educator,0.163356005983299,ETD_SEP_LIR_opt
